questions,answers
What are the travel restrictions in the European Union?,"Travel has been shown to facilitate the spread of COVID-19 from affected to unaffected areas. Travel and trade restrictions during a public health event of international concern (PHEIC) are regulated under the International Health Regulations (IHR), part III. On 16 March, in an effort to slow the spread of the coronavirus, the European Union leaders agreed to a temporary restriction on non-essential travel from third countries into the EU area by closing its borders for the next 30 days staring on 17 March 2020 The temporary travel restriction foresees exemptions for nationals of all EU Member States and Schengen Associated States (Iceland, Liechtenstein, Norway and Switzerland; whilst UK nationals are still to be treated in the same way as EU citizens until end 2020), for the purposes of returning to their homes. Exceptions are also foreseen for travelers with an essential function or need. In addition, most EU countries have also applied national borders closure and/or border checks and travel and transport restrictions or bans within their national borders and between different regions as a measure to slow the spread. See the measures implemented by EU Member States. Many EU countries have also encouraged their citizens to return home (with recommendations  for 14 days self-quarantine upon return) but also recommended that travelers avoid non-essential travels to areas with transmission of COVID-19."
What precautions should I take if I need to travel?,"Travelers should adhere to strict hygiene measures, wash hands with soap and water regularly, and/or use alcohol-based hand sanitizers Touching the face with unwashed hands should be avoided. Travelers should avoid contact with sick persons, in particular those with respiratory symptoms and fever. It should be emphasized that older people and those with underlying health conditions should take these precautionary measures very seriously. Travelers who develop any symptoms during or after travel should self-isolate; those developing acute respiratory symptoms within 14 days upon return should be advised to seek immediate medical advice, ideally by phone first to their national healthcare provider."
What is the risk of infection when traveling by plane?,"The risk of being infected on an airplane cannot be excluded, but is currently considered to be low for an individual traveler The risk of being infected in an airport is similar to that of any other place where many people gather. If it is established that a COVID-19 case has been on an airplane, other passengers who were at risk (as defined by how near they were seated to the infected passenger) will be contacted by public health authorities. Should you have questions about a flight you have taken, please contact your local health authority for advice. The European Union Aviation Safety Agency (EASA) recommended measures to be taken by national authorities, such as thorough disinfecting and cleaning of aircraft after each flight serving high-risk destinations. EASA also recommended that airlines operating on all routes step up the frequency of cleaning, disinfect as a preventative measure and ensure full disinfection of any aircraft which has carried a passenger who was suspected or confirmed as being infected with COVID-19. Airport operators should similarly disinfect terminals regularly."
Why are people not being checked for COVID-19 at the airport when arriving from areas of local or community transmission?,"There is evidence that checking people at the airport by reading their skin temperature (known as entry screening) is not very effective in preventing the spread of the virus, especially when people do not have symptoms. It is generally considered more useful to provide those arriving at airports with clear information explaining what to do if they develop symptoms after arrival."
What is the risk of getting COVID-19 from packages delivered through the postal system?,"A recent study published by The New England Journal of Medicine (NEJM) reported that the causal agent of COVID-19 (SARS-CoV-2) is able to persist for up to 24 hours on cardboard, in experimental settings (e.g. controlled relative humidity and temperature). In practice however there is no evidence of the infection ever being transmitted through contaminated packages that are exposed to different environmental conditions and temperatures."
Are people working in essential positions at risk of getting COVID-19 by handling packages?,People working in essential positions are not at greater risk to of getting COVID-19 as a result of managing packages.
What measures can be taken to reduce the risk of getting infected in essential positions?,"ECDC does not recommend any special measures for essential positions over and above those addressed to the general public: frequent and thorough hand washing and use of alcohol-based hand disinfectants, keeping a distance from other employees, and not working if showing signs of respiratory symptoms."
Are couriers at risk of getting COVID-19 by handling packages?,People working as couriers are not at greater risk of getting COVID-19 as a result of managing packages.
What measures can be taken to reduce the risk of getting infected in this type of work setting?,"Couriers delivering packages at homes are advised to keep a distance from the customer, use alcohol-based hand disinfectant frequently (and always before and after contact with a customer), and avoid working if showing signs of respiratory symptoms."
What is the risk of COVID-19 infection from food products imported from affected areas?,"There has been no report of transmission of COVID-19 via food, and therefore there is no evidence that food items imported into the European Union in accordance with the applicable animal and public health regulations pose a risk for the health of EU citizens in relation to COVID-19. The main mode of transmission is from person to person."
What is the risk of COVID-19 infection from animals or animal products imported from affected areas?,There is no evidence that any of the animals or animal products authorized for entry into the European Union pose a risk to the health of EU citizens as a result of the presence of COVID-19.
What is the risk of COVID-19 infection from contact with pets and other animals in the EU?,"Current research links COVID-19 to certain types of bat as the original source, but does not exclude the involvement of other animals. Several types of coronaviruses can infect animals and can be transmitted to other animals and people. There is no evidence that companion animals (e.g. dogs or cats) pose a risk of infection to humans, however there is one report from Hong Kong of a pet dog that had positive swabs and showed serological evidence that it was likely infected by its owner who got COVID-19. As a general precaution, it is always wise to observe basic principles of hygiene when in contact with animals."
Can the virus that causes COVID-19 be transmitted through the air?,Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air. See previous answer on “How does COVID-19 spread?”
Can COVID-19 be caught from a person who has no symptoms?,"The main way the disease spreads is through respiratory droplets expelled by someone who is coughing. The risk of catching COVID-19 from someone with no symptoms at all is very low. However, many people with COVID-19 experience only mild symptoms. This is particularly true at the early stages of the disease. It is therefore possible to catch COVID-19 from someone who has, for example, just a mild cough and does not feel ill. WHO is assessing ongoing research on the period of transmission of COVID-19 and will continue to share updated findings."
Can I catch COVID-19 from the feces of someone with the disease?,"The risk of catching COVID-19 from the feces of an infected person appears to be low. While initial investigations suggest the virus may be present in feces in some cases, spread through this route is not a main feature of the outbreak. WHO is assessing ongoing research on the ways COVID-19 is spread and will continue to share new findings. Because this is a risk, however, it is another reason to clean hands regularly, after using the bathroom and before eating."
